,intercept,t-stat,avg(t-stat),avg(r_squared),avg(r_squared_bm),avg(ret),avg(abs(ret)),t-stat(ret),t-stat(abs(ret)),avg(r_squared),sharpe(ret)
Illiquidity,0.005783889,3.58484219,-0.067430534,0.29271922,0.285072119,0.002720032,0.007639743,4.386639254,18.27563899,0.060442027,0.281403039
Aiden_Alpha_1,0.004185469,3.425651965,0.126350274,0.286746702,0.285072119,0.002196379,0.006417043,4.227992817,18.50451408,0.074660811,0.271225866
Intangible_Assets_To_Market_Value,0.004266793,2.092591836,0.028129387,0.288192081,0.285072119,0.001154262,0.00823041,1.450770206,13.7224879,0.062585099,0.093066952
Seasonality,0.002660274,2.066706298,0.068527654,0.286929435,0.285072119,-,-,-,-,-,-
Sales_To_Working_Capital,0.002278174,1.858632858,0.086172202,0.286538576,0.285072119,9.70738E-05,0.003378323,0.350056778,19.51401609,0.06090902,0.022456153
Dollar_Trading_Volume_Growth_3M,0.002814708,1.741691368,-0.245012135,0.286460754,0.285072119,0.000377968,0.004567376,0.916477128,15.68208837,0.060222452,0.058792035
Sector_Neutral_Stability,0.002150544,1.686025781,0.371519606,0.295554552,0.285072119,0.001152803,0.005876002,2.302743873,17.40300125,0.060975103,0.147721088
Total_Assets,0.002515746,1.588188865,0.217096996,0.289993215,0.285072119,0.00040403,0.006465709,0.730182671,17.61016217,0.059154292,0.04684124
RnD_To_Asset,0.001844901,1.560409764,-0.084436674,0.286697335,0.285072119,0.00230232,0.008516663,3.290401025,18.45731423,0.052469817,0.211079324
Sector_Neutral_Momentum,0.002276896,1.475003427,-0.188404807,0.286229515,0.285072119,0.000680344,0.009159973,0.81261392,15.31843873,0.060060105,0.052129207
SMB,0.002819692,1.311573541,-0.074071161,0.293341307,0.285072119,-0.000191686,0.008101541,-0.287018415,19.30713465,0.059955259,-0.01841224
Ads_To_Assets,0.002129404,1.14135676,0.152483545,0.287789033,0.285072119,0.000569382,0.004271583,1.628834739,19.40809378,0.052635173,0.104489797
Momentum_3M,0.002193003,1.129012521,-0.212361233,0.285620107,0.285072119,0.000551601,0.00664193,0.953955617,16.92237033,0.0610299,0.061196281
Payout_Yield_Treasury,0.001108528,1.094362724,0.08435787,0.288174037,0.285072119,-3.65036E-06,0.003345343,-0.012924517,18.21896595,0.058878181,-0.000829108
RnD_To_Assets,0.001795377,1.05814192,-0.271831953,0.286329786,0.285072119,0.002157434,0.009593961,2.708306818,18.29689988,0.049147505,0.173737963
Sales_To_Price,0.001399308,1.019008298,0.178003348,0.287475511,0.285072119,0.0009103,0.006360314,1.717173002,18.51899491,0.062675895,0.110156699
Ads_To_Market,0.001930855,1.002622812,0.083588313,0.286557442,0.285072119,0.000136821,0.004724284,0.35959588,20.52126936,0.052612517,0.023068086
Net_Operating_Assets_Turnover,0.001088676,0.991009024,-0.031159314,0.28876906,0.285072119,0.001293578,0.004054813,3.904264832,18.31748833,0.062146181,0.250458706
Interest_Coverage,0.001434503,0.950131169,0.221282728,0.291632213,0.285072119,0.000432902,0.00487167,0.991480802,15.91149135,0.063824317,0.063603523
