,intercept,t-stat(5y),avg(t-stat),avg(r_squared),avg(r_squared_bm),avg(ret),avg(abs(ret)),t-stat(ret),t-stat(abs(ret)),avg(r_squared),sharpe(ret)
Momentum_9M,0.004372973,1.204278383,0.071474566,0.323645715,0.32341841,0.003990217,0.009261756,2.775326376,9.461346503,0.064162622,0.349658257
Intangible_Assets_To_Assets,-0.000235195,-0.088101887,-0.351164304,0.332233305,0.32341841,0.003455582,0.007458164,2.81250821,8.255353253,0.079304398,0.354342728
RnD_Capital_To_Assets,-0.000235195,-0.088101887,-0.351164304,0.332233305,0.32341841,0.003455582,0.007458164,2.81250821,8.255353253,0.079304398,0.354342728
Illiquidity,0.004955608,1.446922358,0.115566809,0.330909913,0.32341841,0.003445227,0.009028809,2.417342366,9.384268539,0.064193445,0.304556511
Organizational_Capital_To_Assets,-0.004443636,-1.362115862,-0.056197158,0.32744078,0.32341841,0.003029913,0.008494137,2.083745124,8.044908398,0.069243989,0.262527209
Gross_Profit_To_Assets,-0.000677298,-0.26091571,-0.162879166,0.330835662,0.32341841,0.002944656,0.007141244,2.663632654,9.626704972,0.06481168,0.335586171
GPA,-0.000642564,-0.252375236,-0.15517482,0.330378736,0.32341841,0.002944457,0.007140151,2.66343731,9.62309641,0.064811782,0.33556156
Dollar_Trading_Volume,0.002049564,0.701950168,-0.066803916,0.328048652,0.32341841,0.002914514,0.014840688,0.975377181,6.289589255,0.064949637,0.122885974
Momentum_6M,0.006394522,1.55981374,0.101959266,0.326186528,0.32341841,0.002808895,0.008560621,2.151406607,10.48503179,0.064748096,0.271051755
RnD_To_Asset,0.00113827,0.455843156,-0.247164691,0.330332484,0.32341841,0.002527014,0.009627028,1.643059821,9.647903484,0.053487056,0.20700608
EV_To_EBITDA,-0.001997797,-0.719884148,0.088654048,0.326204847,0.32341841,0.002308866,0.008910313,1.710724405,11.08661074,0.097577015,0.215531016
Net_Operating_Assets_Turnover,0.001502632,0.753813582,-0.223589051,0.326140696,0.32341841,0.002219392,0.003873727,3.704671827,8.685942407,0.06995166,0.466744778
Intangible_Assets_To_Market_Value,0.003168168,1.100675582,0.030147252,0.326001436,0.32341841,0.002219309,0.01008539,1.087010719,6.216509053,0.074385306,0.136950478
Asset_Tangibility,7.29E-05,0.028103148,-0.415587685,0.335174818,0.32341841,0.001884992,0.005640976,2.221257477,10.82687309,0.06349024,0.279852137
